,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,#BW_EXTENDED,VARIANT,GLOSS,FEAT,COND-T,COND-S,EXAMPLES,D3SEG,D3TOK,ATBSEG,ATBTOK,STATUS,COMMENTS,NOTES
271,242,,MORPH,[IVSuff.S.1S],IVSuff.1S,_,(null)/IVSUFF_MOOD:S,(null)/IVSUFF_SUBJ:1S_MOOD:S,MSA,[sg.],asp:i per:1 gen:u num:s mod:s,#-aY||#-aA||#->ay,mod:is z-suff,أراه، أرى,,,,,,,
272,243,,MORPH,[IVSuff.S.1S],IVSuff.1S,a,a/IVSUFF_MOOD:S,a/IVSUFF_SUBJ:1S_MOOD:S,MSA,[sg.],asp:i per:1 gen:u num:s mod:s,else,mod:is v-suff z-suff a-suff,أكتبَ,,,,,,,
273,244,,MORPH,[IVSuff.S.2MS],IVSuff.2MS,_,(null)/IVSUFF_MOOD:S,(null)/IVSUFF_SUBJ:2MS_MOOD:S,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:s,#-aY||#-aA||#->ay,mod:is z-suff,ترا,,,,,,,
274,245,,MORPH,[IVSuff.S.2MS],IVSuff.2MS,a,a/IVSUFF_MOOD:S,a/IVSUFF_SUBJ:2MS_MOOD:S,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:s,else,mod:is v-suff z-suff a-suff,تكتبَ,,,,,,,
275,246,,MORPH,[IVSuff.S.2D],IVSuff.2D,_,(null)/IVSUFF_SUBJ:D_MOOD:SJ,(null)/IVSUFF_SUBJ:2D_MOOD:S,MSA,[du.],asp:i per:2 gen:u num:d mod:s,#-a>,mod:is A-null,تقرآ,,,,,,,
276,247,,MORPH,[IVSuff.S.2D],IVSuff.2D,aA,A/IVSUFF_SUBJ:D_MOOD:SJ,A/IVSUFF_SUBJ:2D_MOOD:S,MSA,[du.],asp:i per:2 gen:u num:d mod:s,else,mod:is v-suff A-suff,تكتبَا,,,,,,,
277,248,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,awo,awA/IVSUFF_SUBJ:MP_MOOD:SJ,awA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,#-aY||#-aA||#->ay enc0,mod:is w-suff,ترَوْه,,awoA,,awoA,,,
278,249,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,awoAo,awA/IVSUFF_SUBJ:MP_MOOD:SJ,awA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,#-aY||#-aA||#->ay else,mod:is w-suff,ترَوْاْ,,,,,,,
279,250,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,uw,uwA/IVSUFF_SUBJ:MP_MOOD:SJ,uwA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,else enc0,mod:is v-suff w-suff,تكتبُوه,,uwA,,uwA,,,
280,251,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,uwAo,uwA/IVSUFF_SUBJ:MP_MOOD:SJ,uwA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,else else,mod:is v-suff w-suff,تكتبُواْ,,,,,,,
281,252,,MORPH,[IVSuff.S.2FS],IVSuff.2FS,ayo,ay/IVSUFF_MOOD:I,ay/IVSUFF_SUBJ:2FS_MOOD:S,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:s,#-aY||#-aA||#->ay,mod:is y-suff #^ay,ترَيْ,,,,,,,
282,253,,MORPH,[IVSuff.S.2FS],IVSuff.2FS,iy,iy/IVSUFF_MOOD:I,iy/IVSUFF_SUBJ:2FS_MOOD:S,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:s,else,mod:is v-suff y-suff #^iy,تكتبِي,,,,,,,
283,254,,MORPH,[IVSuff.S.2FP],IVSuff.2FP,~a,~a/IVSUFF_MOOD:S,~a/IVSUFF_SUBJ:2FP_MOOD:S,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:s,#n,mod:is c-suff,تسكنَّ,,,,,,,
284,255,,MORPH,[IVSuff.S.2FP],IVSuff.2FP,ona,na/IVSUFF_MOOD:S,na/IVSUFF_SUBJ:2FP_MOOD:S,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:s,else,mod:is c-suff,تكتبْنَ,,,,,,,
285,256,,MORPH,[IVSuff.S.3MS],IVSuff.3MS,_,(null)/IVSUFF_MOOD:S,(null)/IVSUFF_SUBJ:3MS_MOOD:S,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:s,#-aY||#-aA||#->ay,mod:is z-suff,يرا,,,,,,,
286,257,,MORPH,[IVSuff.S.3MS],IVSuff.3MS,a,a/IVSUFF_MOOD:S,a/IVSUFF_SUBJ:3MS_MOOD:S,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:s,else,mod:is v-suff z-suff a-suff,يكتبَ,,,,,,,
287,258,,MORPH,[IVSuff.S.3MD],IVSuff.3MD,_,(null)/IVSUFF_SUBJ:D_MOOD:SJ,(null)/IVSUFF_SUBJ:3MD_MOOD:S,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:s,#-a>,mod:is A-null,تقرآ,,,,,,,
288,259,,MORPH,[IVSuff.S.3MD],IVSuff.3MD,aA,A/IVSUFF_SUBJ:D_MOOD:SJ,A/IVSUFF_SUBJ:3MD_MOOD:S,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:s,else,mod:is v-suff A-suff,يكتبَا,,,,,,,
289,260,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,awo,awA/IVSUFF_SUBJ:MP_MOOD:SJ,awA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,#-aY||#-aA||#->ay enc0                                                                                                                ,mod:is w-suff,يرَوْه,,awoA,,awoA,,,
290,261,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,awoAo,awA/IVSUFF_SUBJ:MP_MOOD:SJ,awA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,#-aY||#-aA||#->ay else,mod:is w-suff,يرَوْا,,,,,,,
291,262,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,uw,uwA/IVSUFF_SUBJ:MP_MOOD:SJ,uwA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,else enc0,mod:is v-suff w-suff,يكتبُوه,,uwA,,uwA,,,
292,263,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,uwAo,uwA/IVSUFF_SUBJ:MP_MOOD:SJ,uwA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,else else,mod:is v-suff w-suff,يكتبُواْ,,,,,,,
293,264,,MORPH,[IVSuff.S.3FS],IVSuff.3FS,_,(null)/IVSUFF_MOOD:S,(null)/IVSUFF_SUBJ:3FS_MOOD:S,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:s,#-aY||#-aA||#->ay,mod:is z-suff,ترى,,,,,,,
294,265,,MORPH,[IVSuff.S.3FS],IVSuff.3FS,a,a/IVSUFF_MOOD:S,a/IVSUFF_SUBJ:3FS_MOOD:S,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:s,else,mod:is v-suff z-suff a-suff,تكتبَ,,,,,,,
295,266,,MORPH,[IVSuff.S.3FD],IVSuff.3FD,_,(null)/IVSUFF_SUBJ:D_MOOD:SJ,(null)/IVSUFF_SUBJ:3FD_MOOD:S,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:s,#-a>,mod:is A-null,تقرآ,,,,,,,
296,267,,MORPH,[IVSuff.S.3FD],IVSuff.3FD,aA,A/IVSUFF_SUBJ:D_MOOD:SJ,A/IVSUFF_SUBJ:3FD_MOOD:S,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:s,else,mod:is v-suff A-suff,تكتبَا,,,,,,,
297,268,,MORPH,[IVSuff.S.3FP],IVSuff.3FP,~a,~a/IVSUFF_SUBJ:3FP_MOOD:S,~a/IVSUFF_SUBJ:3FP_MOOD:S,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:s,#n,mod:is c-suff,يسكنَّ,,,,,,,
298,269,,MORPH,[IVSuff.S.3FP],IVSuff.3FP,ona,na/IVSUFF_SUBJ:3FP_MOOD:S,na/IVSUFF_SUBJ:3FP_MOOD:S,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:s,else,mod:is c-suff,يكتبْنَ,,,,,,,
299,,,,Imperfective Verb Suffixes (Energetic Mood) Light Energetic,,,,,,,,,,,,,,,,,
300,270,,MORPH,[IVSuff.E.1P],IVSuff.1P,ano,ano/IVSUFF_SUBJ:1P_MOOD:E,ano/IVSUFF_SUBJ:1P_MOOD:E,MSA||CA,[pl.],asp:i per:1 gen:u num:p mod:e,_,v-suff a-suff,نكتبَنْ نريَنْ,,,,,,,L
301,271,,MORPH,[IVSuff.E.1S],IVSuff.1S,ano,ano/IVSUFF_SUBJ:1S_MOOD:E,ano/IVSUFF_SUBJ:1S_MOOD:E,MSA||CA,[sg.],asp:i per:1 gen:u num:s mod:e,_,v-suff a-suff,أكتبَنْ أرينْ,,,,,,,L
302,272,,MORPH,[IVSuff.E.2D],IVSuff.2D,n~i,n~i/IVSUFF_SUBJ:2D_MOOD:E,n~i/IVSUFF_SUBJ:2D_MOOD:E,MSA||CA,[du.],asp:i per:2 gen:u num:d mod:e,#-a>,A-null #^i,تقرآنِّ,,,,,,,HL
303,273,,MORPH,[IVSuff.E.2D],IVSuff.2D,aAn~i,An~i/IVSUFF_SUBJ:2D_MOOD:E,An~i/IVSUFF_SUBJ:2D_MOOD:E,MSA||CA,[du.],asp:i per:2 gen:u num:d mod:e,else,v-suff A-suff #^i,تكتبَانِّ,,,,,,,HL
304,274,,MORPH,[IVSuff.E.2FP],IVSuff.2FP,~aAn~i,~An~i/IVSUFF_SUBJ:2FP_MOOD:E,~An~i/IVSUFF_SUBJ:2FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:2 gen:f num:p mod:e,#n,c-suff #^i,تسكنّانِّ,,,,,,,HL
305,275,,MORPH,[IVSuff.E.2FP],IVSuff.2FP,onaAn~i,nAn~i/IVSUFF_SUBJ:2FP_MOOD:E,nAn~i/IVSUFF_SUBJ:2FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:2 gen:f num:p mod:e,else,c-suff #^i,تكتبْنَانِّ,,,,,,,HL
306,276,,MORPH,[IVSuff.E.2FS],IVSuff.2FS,ayino,ayino/IVSUFF_SUBJ:2FS_MOOD:E,ayino/IVSUFF_SUBJ:2FS_MOOD:E,MSA||CA,[fem.sg.],asp:i per:2 gen:f num:s mod:e,#-aY||#-aA||#->ay,y-suff,ترَيِنْ,,,,,,,L
307,277,,MORPH,[IVSuff.E.2FS],IVSuff.2FS,ino,ino/IVSUFF_SUBJ:2FS_MOOD:E,ino/IVSUFF_SUBJ:2FS_MOOD:E,MSA||CA,[fem.sg.],asp:i per:2 gen:f num:s mod:e,else,v-suff i-suff,تكتبِنْ,,,,,,,L
308,278,,MORPH,[IVSuff.E.2MP],IVSuff.2MP,awuno,awuno/IVSUFF_SUBJ:2MP_MOOD:E,awuno/IVSUFF_SUBJ:2MP_MOOD:E,MSA||CA,[masc.pl.],asp:i per:2 gen:m num:p mod:e,#-aY||#-aA||#->ay,w-suff,ترَوُنْ,,,,,,,L
309,279,,MORPH,[IVSuff.E.2MP],IVSuff.2MP,uno,uno/IVSUFF_SUBJ:2MP_MOOD:E,uno/IVSUFF_SUBJ:2MP_MOOD:E,MSA||CA,[masc.pl.],asp:i per:2 gen:m num:p mod:e,else,v-suff u-suff,تكتبُنْ,,,,,,,L
310,280,,MORPH,[IVSuff.E.2MS],IVSuff.2MS,ano,ano/IVSUFF_SUBJ:2MS_MOOD:E,ano/IVSUFF_SUBJ:2MS_MOOD:E,MSA||CA,[masc.sg.],asp:i per:2 gen:m num:s mod:e,_,v-suff a-suff,تكتبَنْ تريَنْ,,,,,,,L
311,281,,MORPH,[IVSuff.E.3FD],IVSuff.3FD,n~i,n~i/IVSUFF_SUBJ:3FD_MOOD:E,n~i/IVSUFF_SUBJ:3FD_MOOD:E,MSA||CA,[fem.du.],asp:i per:3 gen:f num:d mod:e,#-a>,A-null #^i,تقرآنِّ,,,,,,,HL
312,282,,MORPH,[IVSuff.E.3FD],IVSuff.3FD,aAn~i,An~i/IVSUFF_SUBJ:3FD_MOOD:E,An~i/IVSUFF_SUBJ:3FD_MOOD:E,MSA||CA,[fem.du.],asp:i per:3 gen:f num:d mod:e,else,v-suff A-suff #^i,تكتبانِّ,,,,,,,HL
313,283,,MORPH,[IVSuff.E.3FP],IVSuff.3FP,~aAn~i,~An~i/IVSUFF_SUBJ:3FP_MOOD:E,~An~i/IVSUFF_SUBJ:3FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:3 gen:f num:p mod:e,#n,c-suff #^i,يسكنّان,,,,,,,HL
314,284,,MORPH,[IVSuff.E.3FP],IVSuff.3FP,onaAn~i,nAn~i/IVSUFF_SUBJ:3FP_MOOD:E,nAn~i/IVSUFF_SUBJ:3FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:3 gen:f num:p mod:e,else,c-suff #^i,يكتبْنَانِّ,,,,,,,HL
315,285,,MORPH,[IVSuff.E.3FS],IVSuff.3FS,ano,ano/IVSUFF_SUBJ:3FS_MOOD:E,ano/IVSUFF_SUBJ:3FS_MOOD:E,MSA||CA,[fem.sg.],asp:i per:3 gen:f num:s mod:e,_,v-suff a-suff,تكتبَنْ تريَنْ,,,,,,,L
316,286,,MORPH,[IVSuff.E.3MD],IVSuff.3MD,n~i,n~i/IVSUFF_SUBJ:3MD_MOOD:E,n~i/IVSUFF_SUBJ:3MD_MOOD:E,MSA||CA,[masc.du.],asp:i per:3 gen:m num:d mod:e,#-a>,A-null #^i,يقرآنِّ,,,,,,,HL
317,287,,MORPH,[IVSuff.E.3MD],IVSuff.3MD,aAn~i,An~i/IVSUFF_SUBJ:3MD_MOOD:E,An~i/IVSUFF_SUBJ:3MD_MOOD:E,MSA||CA,[masc.du.],asp:i per:3 gen:m num:d mod:e,else,v-suff A-suff #^i,يكتبانِّ,,,,,,,HL
318,288,,MORPH,[IVSuff.E.3MP],IVSuff.3MP,awuno,awuno/IVSUFF_SUBJ:3MP_MOOD:E,awuno/IVSUFF_SUBJ:3MP_MOOD:E,MSA||CA,[masc.pl.],asp:i per:3 gen:m num:p mod:e,#-aY||#-aA||#->ay,w-suff,يروُنْ,,,,,,,L
319,289,,MORPH,[IVSuff.E.3MP],IVSuff.3MP,uno,uno/IVSUFF_SUBJ:3MP_MOOD:E,uno/IVSUFF_SUBJ:3MP_MOOD:E,MSA||CA,[masc.pl.],asp:i per:3 gen:m num:p mod:e,else,v-suff u-suff,يكتبُنْ,,,,,,,L
320,290,,MORPH,[IVSuff.E.3MS],IVSuff.3MS,ano,ano/IVSUFF_SUBJ:3MS_MOOD:E,ano/IVSUFF_SUBJ:3MS_MOOD:E,MSA||CA,[masc.sg.],asp:i per:3 gen:m num:s mod:e,_,v-suff a-suff,يكتبَنْ يريَنْ,,,,,,,L
321,,,,Imperfective Verb Suffixes (Extra Energetic Mood) Heavy Energetic,,,,,,,,,,,,,,,,,
322,291,,MORPH,[IVSuff.X.1P],IVSuff.1P,an~a,an~a/IVSUFF_SUBJ:1P_MOOD:X,an~a/IVSUFF_SUBJ:1P_MOOD:X,MSA||CA,[pl.],asp:i per:1 gen:u num:p mod:x,_,v-suff a-suff,نكتبَنَّ نريَنَّ,,,,,,,H
323,292,,MORPH,[IVSuff.X.1S],IVSuff.1S,an~a,an~a/IVSUFF_SUBJ:1S_MOOD:X,an~a/IVSUFF_SUBJ:1S_MOOD:X,MSA||CA,[sg.],asp:i per:1 gen:u num:s mod:x,_,v-suff a-suff,أكتبَنَّ أرينَّ,,,,,,,H
324,293,,MORPH,[IVSuff.X.2D],IVSuff.2D,n~i,n~i/IVSUFF_SUBJ:2D_MOOD:X,n~i/IVSUFF_SUBJ:2D_MOOD:X,MSA||CA,[du.],asp:i per:2 gen:u num:d mod:x,#-a>,A-null #^i,تقرآنِّ,,,,,,,HL
325,294,,MORPH,[IVSuff.X.2D],IVSuff.2D,aAn~i,An~i/IVSUFF_SUBJ:2D_MOOD:X,An~i/IVSUFF_SUBJ:2D_MOOD:X,MSA||CA,[du.],asp:i per:2 gen:u num:d mod:x,else,v-suff A-suff #^i,تكتبانِّ,,,,,,,HL
326,295,,MORPH,[IVSuff.X.2FP],IVSuff.2FP,~An~i,~An~i/IVSUFF_SUBJ:2FP_MOOD:X,~An~i/IVSUFF_SUBJ:2FP_MOOD:X,MSA||CA,[fem.pl.],asp:i per:2 gen:f num:p mod:x,#n,c-suff #^i,تسكنّان,,,,,,,HL
327,296,,MORPH,[IVSuff.X.2FP],IVSuff.2FP,onaAn~i,nAn~i/IVSUFF_SUBJ:2FP_MOOD:X,nAn~i/IVSUFF_SUBJ:2FP_MOOD:X,MSA||CA,[fem.pl.],asp:i per:2 gen:f num:p mod:x,else,c-suff #^i,تكتبنان,,,,,,,HL
328,297,,MORPH,[IVSuff.X.2FS],IVSuff.2FS,ayin~a,ayin~a/IVSUFF_SUBJ:2FS_MOOD:X,ayin~a/IVSUFF_SUBJ:2FS_MOOD:X,MSA||CA,[fem.sg.],asp:i per:2 gen:f num:s mod:x,#-aY||#-aA||#->ay,y-suff,تريِنَّ,,,,,,,H
329,298,,MORPH,[IVSuff.X.2FS],IVSuff.2FS,in~a,in~a/IVSUFF_SUBJ:2FS_MOOD:X,in~a/IVSUFF_SUBJ:2FS_MOOD:X,MSA||CA,[fem.sg.],asp:i per:2 gen:f num:s mod:x,else,v-suff i-suff,تكتبِنَّ,,,,,,,H
330,299,,MORPH,[IVSuff.X.2MP],IVSuff.2MP,awun~a,awun~a/IVSUFF_SUBJ:2MP_MOOD:X,awun~a/IVSUFF_SUBJ:2MP_MOOD:X,MSA||CA,[masc.pl.],asp:i per:2 gen:m num:p mod:x,#-aY||#-aA||#->ay,w-suff,تروُنَّ,,,,,,,H
331,300,,MORPH,[IVSuff.X.2MP],IVSuff.2MP,un~a,un~a/IVSUFF_SUBJ:2MP_MOOD:X,un~a/IVSUFF_SUBJ:2MP_MOOD:X,MSA||CA,[masc.pl.],asp:i per:2 gen:m num:p mod:x,else,v-suff u-suff,تكتبُنَّ,,,,,,,H
332,301,,MORPH,[IVSuff.X.2MS],IVSuff.2MS,an~a,an~a/IVSUFF_SUBJ:2MS_MOOD:X,an~a/IVSUFF_SUBJ:2MS_MOOD:X,MSA||CA,[masc.sg.],asp:i per:2 gen:m num:s mod:x,_,v-suff a-suff,تكتبَنَّ تريَنَّ,,,,,,,H
333,302,,MORPH,[IVSuff.X.3FD],IVSuff.3FD,n~i,n~i/IVSUFF_SUBJ:3FD_MOOD:X,n~i/IVSUFF_SUBJ:3FD_MOOD:X,MSA||CA,[fem.du.],asp:i per:3 gen:f num:d mod:x,#-a>,A-null #^i,تقرآنِّ,,,,,,,HL
334,303,,MORPH,[IVSuff.X.3FD],IVSuff.3FD,aAn~i,An~i/IVSUFF_SUBJ:3FD_MOOD:X,An~i/IVSUFF_SUBJ:3FD_MOOD:X,MSA||CA,[fem.du.],asp:i per:3 gen:f num:d mod:x,else,v-suff A-suff #^i,تكتبانِّ,,,,,,,HL
335,304,,MORPH,[IVSuff.X.3FP],IVSuff.3FP,~aAn~i,~An~i/IVSUFF_SUBJ:3FP_MOOD:X,~An~i/IVSUFF_SUBJ:3FP_MOOD:X,MSA||CA,[fem.pl.],asp:i per:3 gen:f num:p mod:x,#n,c-suff #^i,يسكنّان,,,,,,,HL
336,305,,MORPH,[IVSuff.X.3FP],IVSuff.3FP,onaAn~i,nAn~i/IVSUFF_SUBJ:3FP_MOOD:X,nAn~i/IVSUFF_SUBJ:3FP_MOOD:X,MSA||CA,[fem.pl.],asp:i per:3 gen:f num:p mod:x,else,c-suff #^i,يكتبنان,,,,,,,HL
337,306,,MORPH,[IVSuff.X.3FS],IVSuff.3FS,an~a,an~a/IVSUFF_SUBJ:3FS_MOOD:X,an~a/IVSUFF_SUBJ:3FS_MOOD:X,MSA||CA,[fem.sg.],asp:i per:3 gen:f num:s mod:x,_,v-suff a-suff,تكتبَنَّ تريَنَّ,,,,,,,H
338,307,,MORPH,[IVSuff.X.3MD],IVSuff.3MD,n~i,n~i/IVSUFF_SUBJ:3MD_MOOD:X,n~i/IVSUFF_SUBJ:3MD_MOOD:X,MSA||CA,[masc.du.],asp:i per:3 gen:m num:d mod:x,#-a>,A-null #^i,يقرآنِّ,,,,,,,HL
339,308,,MORPH,[IVSuff.X.3MD],IVSuff.3MD,aAn~i,An~i/IVSUFF_SUBJ:3MD_MOOD:X,An~i/IVSUFF_SUBJ:3MD_MOOD:X,MSA||CA,[masc.du.],asp:i per:3 gen:m num:d mod:x,else,v-suff A-suff #^i,يكتبانِّ,,,,,,,HL
340,309,,MORPH,[IVSuff.X.3MP],IVSuff.3MP,awun~a,awun~a/IVSUFF_SUBJ:3MP_MOOD:X,awun~a/IVSUFF_SUBJ:3MP_MOOD:X,MSA||CA,[masc.pl.],asp:i per:3 gen:m num:p mod:x,#-aY||#-aA||#->ay,w-suff,يروُنَّ,,,,,,,H
341,310,,MORPH,[IVSuff.X.3MP],IVSuff.3MP,un~a,un~a/IVSUFF_SUBJ:3MP_MOOD:X,un~a/IVSUFF_SUBJ:3MP_MOOD:X,MSA||CA,[masc.pl.],asp:i per:3 gen:m num:p mod:x,else,v-suff u-suff,يكتبُنَّ,,,,,,,H
342,311,,MORPH,[IVSuff.X.3MS],IVSuff.3MS,an~a,an~a/IVSUFF_SUBJ:3MS_MOOD:X,an~a/IVSUFF_SUBJ:3MS_MOOD:X,MSA||CA,[masc.sg.],asp:i per:3 gen:m num:s mod:x,_,v-suff a-suff,يكتبَنَّ يريَنَّ,,,,,,,H
343,,,,Command Verb Stem Buffers,,,,,,,,,,,,,,,,,
344,312,,MORPH,[CVBuff],Buffer,_,_/STEM,_/STEM,MSA,,,#-aA w-suff||y-suff,_,احيوا,,,,,,,
345,313,,MORPH,[CVBuff],Buffer,a,a/STEM,a/STEM,MSA,,,#-aA z-suff else,_,احيَ,,,,,,,
346,314,,MORPH,[CVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-aA z-suff c-suff,_,احيَيْ,,,,,,,
347,315,,MORPH,[CVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-aA else,_,احيَين احيَيا,,,,,,,
348,316,,MORPH,[CVBuff],Buffer,_,_/STEM,_/STEM,MSA,,,#-aY w-suff||y-suff,_,اصحَوْا، اصحَيِنَّ,,,,,,,
349,317,,MORPH,[CVBuff],Buffer,a,a/STEM,a/STEM,MSA,,,#-aY z-suff else,_,اصحَ,,,,,,,
350,318,,MORPH,[CVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-aY z-suff c-suff,_,اصحَيْ,,,,,,,
351,319,,MORPH,[CVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-aY else,_,اصحَين,,,,,,,
352,320,,MORPH,[CVBuff],Buffer,_,_/STEM,_/STEM,MSA,,,#-iy w-suff||y-suff,_,ارمًوا,,,,,,,
353,321,,MORPH,[CVBuff],Buffer,i,i/STEM,i/STEM,MSA,,,#-iy z-suff,_,ارمِ,,,,,,,
354,322,,MORPH,[CVBuff],Buffer,iy,iy/STEM,iy/STEM,MSA,,,#-iy else,_,ارمِيِنَ,,,,,,,
355,323,,MORPH,[CVBuff],Buffer,_,_/STEM,_/STEM,MSA,,,#-uw w-suff||y-suff,_,ادعُوا,,,,,,,
356,324,,MORPH,[CVBuff],Buffer,u,u/STEM,u/STEM,MSA,,,#-uw z-suff,_,ادعُ,,,,,,,
357,325,,MORPH,[CVBuff],Buffer,uw,uw/STEM,uw/STEM,MSA,,,#-uw else,_,ادعُونَ,,,,,,,
358,326,,MORPH,[CVBuff],Buffer,a|,a|/STEM,a|/STEM,MSA,,,#-a> A-null,_,اقرَآ,,,,,,,
359,327,,MORPH,[CVBuff],Buffer,a&,a&/STEM,a&/STEM,MSA,,,#-a> w-suff||u-suff,_,اقرَؤوا,,,,,,,
360,328,,MORPH,[CVBuff],Buffer,a},a}/STEM,a}/STEM,MSA,,,#-a> y-suff||i-suff,_,اقرَئي,,,,,,,
361,329,,MORPH,[CVBuff],Buffer,a>,a>/STEM,a>/STEM,MSA,,,#-a> else,_,اقرَأ,,,,,,,
362,330,,MORPH,[CVBuff],Buffer,aA',A'/STEM,A'/STEM,MSA,,,#-A' A-suff||a-suff,_,استَاءَا، استَاءَن,,,,,,,
363,331,,MORPH,[CVBuff],Buffer,aA},A}/STEM,A}/STEM,MSA,,,#-A' y-suff||i-suff,_,استَائِي، استَائِنَّ,,,,,,,
364,332,,MORPH,[CVBuff],Buffer,aA&,A}/STEM,A}/STEM,MSA,,,#-A' w-suff||u-suff,_,استَاؤوا، استَاؤُن,,,,,,,
365,333,,MORPH,[CVBuff],Buffer,a>,a>/STEM,a>/STEM,MSA,,,#-A' else,_,استَأ، استَأن,,,,,,,
366,334,,MORPH,[CVBuff],Buffer,i},i}/STEM,i}/STEM,MSA,,,#-iy' c-suff||z-suff,_,أسِئ، سِئنَا,,,,,,,
367,335,,MORPH,[CVBuff],Buffer,iy},iy}/STEM,iy}/STEM,MSA,,,#-iy' else,_,أسِيئَا، أسِيئِي,,,,,,,
368,336,,MORPH,[CVBuff],Buffer,uw',uw'/STEM,uw'/STEM,MSA,,,#-uw' A-suff||w-suff||a-suff,_,نُوءا، نُوءوا، نُوءَن,,,,,,,
369,337,,MORPH,[CVBuff],Buffer,uw&,uw&/STEM,u&/STEM,MSA,,,#-uw' u-suff,_,نُوؤُن,,,,,,,
370,338,,MORPH,[CVBuff],Buffer,uw},uw}/STEM,uw}/STEM,MSA,,,#-uw' y-suff||i-suff,_,نُوئِي، نُوئِن,,,,,,,
371,339,,MORPH,[CVBuff],Buffer,u&,u&/STEM,u&/STEM,MSA,,,#-uw' else,_,نُؤْ، نُؤْن,,,,,,,
372,340,,MORPH,[CVBuff],Buffer,},}/STEM,}/STEM,MSA,,,#-}iy y-suff,_,انتَئِي,,,,,,,
373,341,,MORPH,[CVBuff],Buffer,&,&/STEM,&/STEM,MSA,,,#-}iy w-suff,_,انتَؤوا,,,,,,,
374,342,,MORPH,[CVBuff],Buffer,}i,}i/STEM,}i/STEM,MSA,,,#-}iy z-suff,_,انتَئِ,,,,,,,
375,343,,MORPH,[CVBuff],Buffer,}iy,}iy/STEM,}iy/STEM,MSA,,,#-}iy A-suff||c-suff,_,اِنْتَئِينَانِّ، اِنْتَئِيَانِّ,,,,,,,
376,344,,MORPH,[CVBuff],Buffer,}iy,}iy/STEM,}iy/STEM,MSA,,,#-}iy else,_,اِنْتَئِنَّ,,,,,,,
377,345,,MORPH,[CVBuff],Buffer,_,_,_,MSA,,,else,_,اُكْتُبْ,,,,,,,
378,,,,Command Verb Suffixes,,,,,,,,,,,,,,,,,
379,346,,MORPH,[CVSuff],CVSuff.2MS,_,(null)/CVSUFF_SUBJ:2MS,(null)/CVSUFF_SUBJ:2MS,MSA,[masc.sg.],asp:c per:2 gen:m num:s mod:i,#-aA||#-uw||#-aY !enc0:2*,z-suff,احيَ,,,,,,,
