,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-F,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check,Notes
259,300.23221,,MORPH,[NSuff.XXDA],NSuff.FPDA,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[def.acc.],MSA,form_gen:f form_num:p stt:d cas:a,#a>,,FP A-suff,#a>,المكافآت,OK,GOOD,1,
260,300.2323,,MORPH,[NSuff.XXDG],NSuff.FPDG,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[def.gen.],MSA,form_gen:f form_num:p stt:d cas:g,else,,FP,Base Triptote-Sound,,OK,GOOD,0,
261,300.23231,,MORPH,[NSuff.XXDG],NSuff.FPDG,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[def.gen.],MSA,form_gen:f form_num:p stt:d cas:g,#a>,,FP A-suff,#a>,المكافآت,OK,GOOD,1,
262,300.2324,,MORPH,[NSuff.XXDU],NSuff.FPDU,At,At/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:d cas:u,else,,FP UCase,Base UCase,موظفات,OK,GOOD,0,
263,300.23241,,MORPH,[NSuff.XXDU],NSuff.FPDU,|t,|t/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:d cas:u,#a>,,FP A-suff UCase,#a> UCase ,مكافآت,OK,GOOD,1,
264,300.2331,,MORPH,[NSuff.XXCN],NSuff.FPCN,At+u,At/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],MSA,form_gen:f form_num:p stt:c cas:n,!POSS_PRON-iy,,FP,Base Triptote-Sound,,OK,GOOD,0,
265,300.2331,,MORPH,[NSuff.XXCN],NSuff.FPCN,At,At/NSUFF_FEM_PL+(null)/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],MSA,form_gen:f form_num:p stt:c cas:n,POSS_PRON-iy,,FP,Base Triptote-Sound,,OK,GOOD,0,
266,300.23311,,MORPH,[NSuff.XXCN],NSuff.FPCN,|t+u,|t/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],MSA,form_gen:f form_num:p stt:c cas:n,#a> !POSS_PRON-iy,,FP A-suff,#a>,مكافآت,OK,GOOD,1,
267,300.23311,,MORPH,[NSuff.XXCN],NSuff.FPCN,|t,|t/NSUFF_FEM_PL+(null)/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],MSA,form_gen:f form_num:p stt:c cas:n,#a> POSS_PRON-iy,,FP A-suff,#a>,مكافآتي,OK,GOOD,1,
268,300.2332,,MORPH,[NSuff.XXCA],NSuff.FPCA,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],MSA,form_gen:f form_num:p stt:c cas:a,!POSS_PRON-iy,,FP #^i,Base Triptote-Sound,,OK,GOOD,0,
269,300.2332,,MORPH,[NSuff.XXCA],NSuff.FPCA,At,At/NSUFF_FEM_PL+(null)/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],MSA,form_gen:f form_num:p stt:c cas:a,POSS_PRON-iy,,FP,Base Triptote-Sound,,OK,GOOD,0,
270,300.23321,,MORPH,[NSuff.XXCA],NSuff.FPCA,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],MSA,form_gen:f form_num:p stt:c cas:a,#a> !POSS_PRON-iy,,FP A-suff #^i,#a>,مكافآت,OK,GOOD,1,
271,300.23321,,MORPH,[NSuff.XXCA],NSuff.FPCA,|t,|t/NSUFF_FEM_PL+(null)/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],MSA,form_gen:f form_num:p stt:c cas:a,#a> POSS_PRON-iy,,FP A-suff,#a>,مكافآتي,OK,GOOD,1,
272,300.2333,,MORPH,[NSuff.XXCG],NSuff.FPCG,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,!POSS_PRON-iy,,FP #^i,Base Triptote-Sound,,OK,GOOD,0,
273,300.2333,,MORPH,[NSuff.XXCG],NSuff.FPCG,At,At/NSUFF_FEM_PL+(null)/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,POSS_PRON-iy,,FP,Base Triptote-Sound,,OK,GOOD,0,
274,300.23331,,MORPH,[NSuff.XXCG],NSuff.FPCG,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,#a> !POSS_PRON-iy,,FP A-suff #^i,#a>,مكافآت,OK,GOOD,1,
275,300.23331,,MORPH,[NSuff.XXCG],NSuff.FPCG,|t,|t/NSUFF_FEM_PL+(null)/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,#a> POSS_PRON-iy,,FP A-suff,#a>,مكافآتي,OK,GOOD,1,
276,300.2334,,MORPH,[NSuff.XXCU],NSuff.FPCU,At,At/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:c cas:u,else,,FP UCase,Base UCase,موظفات,OK,GOOD,0,
277,300.23341,,MORPH,[NSuff.XXCU],NSuff.FPCU,|t,|t/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:c cas:u,#a>,,FP A-suff UCase,#a> UCase ,مكافآت,OK,GOOD,1,
278,,,,,,,,,,,,,,,,,,,
279,1000,,MORPH,[PRON],_,_,_,_,MSA,enc0:0,_,,,Clitics,,OK,GOOD,,
280,1001,,,,,,,,,,,,,,,,,,
281,1002,RED,MORPH,[PRON],hA/PRON.3FS,hA,hA/POSS_PRON_3FS,its/their/her,MSA,enc0:3fs_poss,_,,POSS_PRON enc0,Clitics,,OK,GOOD,,
282,1003,,,,,,,,,,,,,,,,,,
283,1004,,MORPH,[PRON],hu/PRON.3MS,hu,hu/POSS_PRON_3MS,its/his,MSA,enc0:3ms_poss,!#^i !#^ay !#^iy,,POSS_PRON enc0,Clitics,كتابُهُ,OK,GOOD,,
284,1005,RED,MORPH,[PRON],hum/PRON.3MP,hum,hum/POSS_PRON_3MP,their,MSA,enc0:3mp_poss,!#^i !#^ay !#^iy,,POSS_PRON enc0,Clitics,كتابُهُم,OK,GOOD,,
285,1006,RED,MORPH,[PRON],humA/PRON.3D,humA,humA/POSS_PRON_3D,their,MSA,enc0:3d_poss,!#^i !#^ay !#^iy,,POSS_PRON enc0,Clitics,كتابُهُما,OK,GOOD,,
286,1007,RED,MORPH,[PRON],hun~a/PRON.3FP,hun~a,hun~a/POSS_PRON_3FP,their,MSA,enc0:3fp_poss,!#^i !#^ay !#^iy,,POSS_PRON enc0,Clitics,كتابُهُن,OK,GOOD,,
287,1008,,MORPH,[PRON],hu/PRON.3MS,hi,hu/POSS_PRON_3MS,its/his,MSA,enc0:3ms_poss,#^i||#^ay||#^iy,,POSS_PRON enc0,Clitics,كتابِهِ,OK,GOOD,,
288,1009,RED,MORPH,[PRON],hum/PRON.3MP,him,hum/POSS_PRON_3MP,their,MSA,enc0:3mp_poss,#^i||#^ay||#^iy,,POSS_PRON enc0,Clitics,كتابِهِم,OK,GOOD,,
289,1010,RED,MORPH,[PRON],humA/PRON.3D,himA,humA/POSS_PRON_3D,their,MSA,enc0:3d_poss,#^i||#^ay||#^iy,,POSS_PRON enc0,Clitics,كتابِهِما,OK,GOOD,,
290,1011,RED,MORPH,[PRON],hun~a/PRON.3FP,hin~a,hun~a/POSS_PRON_3FP,their,MSA,enc0:3fp_poss,#^i||#^ay||#^iy,,POSS_PRON enc0,Clitics,كتابِهِن,OK,GOOD,,
291,1012,,,,,,,,,,,,,,,,,,
292,1013,RED,MORPH,[PRON],ka/PRON.2MS,ka,ka/POSS_PRON_2MS,your_[masc.sg.],MSA,enc0:2ms_poss,_,,POSS_PRON enc0,Clitics,,OK,GOOD,,
293,1014,RED,MORPH,[PRON],ki/PRON.2FS,ki,ki/POSS_PRON_2FS,your_[fem.sg.],MSA,enc0:2fs_poss,_,,POSS_PRON enc0,Clitics,,OK,GOOD,,
294,1015,RED,MORPH,[PRON],kum/PRON.2MP,kum,kum/POSS_PRON_2MP,your_[masc.pl.],MSA,enc0:2mp_poss,_,,POSS_PRON enc0,Clitics,,OK,GOOD,,
295,1016,RED,MORPH,[PRON],kumA/PRON.2D,kumA,kumA/POSS_PRON_2D,your_[du.],MSA,enc0:2d_poss,_,,POSS_PRON enc0,Clitics,,OK,GOOD,,
296,1017,RED,MORPH,[PRON],kun~a/PRON.2FP,kun~a,kun~a/POSS_PRON_2FP,your_[fem.pl.],MSA,enc0:2fp_poss,_,,POSS_PRON enc0,Clitics,,OK,GOOD,,
297,1018,,,,,,,,,,,,,,,,,,
298,1019,,MORPH,[PRON],iy/PRON.1S,iy,iy/POSS_PRON_1S,my,MSA,enc0:1s_poss,!#^A !#^ay !#^iy,,POSS_PRON-iy enc0,Clitics,كتابِي,OK,GOOD,,
299,1020,,MORPH,[PRON],iy/PRON.1S,ya,iy/POSS_PRON_1S,my,MSA,enc0:1s_poss,#^A,,POSS_PRON-iy enc0,Clitics,كتابايَ,OK,GOOD,,
300,1021,,MORPH,[PRON],iy/PRON.1S,~a,iy/POSS_PRON_1S,my,MSA,enc0:1s_poss,#^ay||#^iy,,POSS_PRON-iy enc0,Clitics,كتابَيَّ,OK,GOOD,,
301,1022,,,,,,,,,,,,,,,,,,
302,1023,RED,MORPH,[PRON],nA/PRON.1P,nA,nA/POSS_PRON_1P,our,MSA,enc0:1p_poss,_,,POSS_PRON enc0,Clitics,,OK,GOOD,,
303,1024,,,,,,,,,,,,,,,,,,
304,1025,RED,MORPH,[PRON],mA/REL_PRON,mA,mA/REL_PRON,,MSA,enc0: mA_rel,,,MA enc0,Clitics,,OK,GOOD,,
305,1026,RED,MORPH,[PRON],mA/SUB_CONJ,mA,mA/SUB_CONJ,,MSA,enc0: mA_sub,,,MA enc0,Clitics,,OK,GOOD,,
