,LINE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-F,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check,Notes
247,300.2333,MORPH,[NSuff.XXCG],NSuff.FPCG,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,!C:POSS_PRON-iy,,FP C:i#,Base Triptote-Sound,,OK,GOOD,0,
248,300.2333,MORPH,[NSuff.XXCG],NSuff.FPCG,At,At/NSUFF_FEM_PL+(null)/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,C:POSS_PRON-iy,,FP,Base Triptote-Sound,,OK,GOOD,0,
249,300.23331,MORPH,[NSuff.XXCG],NSuff.FPCG,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,#a> !C:POSS_PRON-iy,,FP A-suff C:i#,#a>,مكافآت,OK,GOOD,1,
250,300.23331,MORPH,[NSuff.XXCG],NSuff.FPCG,|t,|t/NSUFF_FEM_PL+(null)/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],MSA,form_gen:f form_num:p stt:c cas:g,#a> C:POSS_PRON-iy,,FP A-suff,#a>,مكافآتي,OK,GOOD,1,
251,300.2334,MORPH,[NSuff.XXCU],NSuff.FPCU,At,At/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:c cas:u,else,,FP UCase,Base UCase,موظفات,OK,GOOD,0,
252,300.23341,MORPH,[NSuff.XXCU],NSuff.FPCU,|t,|t/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:c cas:u,#a>,,FP A-suff UCase,#a> UCase ,مكافآت,OK,GOOD,1,
253,,,,,,,,,,,,,,,,,,
254,1000,MORPH,[PRON],_,_,_,_,MSA,enc0:0,_,,_,Clitics,,OK,GOOD,,
255,1001,,,,,,,,,,,,,,,,,
256,1002,#MORPH,[PRON],hA/PRON.3FS,hA,hA/POSS_PRON_3FS,its/their/her,MSA,enc0:3fs_poss,_,,C:POSS_PRON,Clitics,,OK,GOOD,,
257,1003,,,,,,,,,,,,,,,,,
258,1004,MORPH,[PRON],hu/PRON.3MS,hu,hu/POSS_PRON_3MS,its/his,MSA,enc0:3ms_poss,!C:i# !C:ay# !C:iy#,,C:POSS_PRON,Clitics,كتابُهُ,OK,GOOD,,
259,1005,#MORPH,[PRON],hum/PRON.3MP,hum,hum/POSS_PRON_3MP,their,MSA,enc0:3mp_poss,!C:i# !C:ay# !C:iy#,,C:POSS_PRON,Clitics,كتابُهُم,OK,GOOD,,
260,1006,#MORPH,[PRON],humA/PRON.3D,humA,humA/POSS_PRON_3D,their,MSA,enc0:3d_poss,!C:i# !C:ay# !C:iy#,,C:POSS_PRON,Clitics,كتابُهُما,OK,GOOD,,
261,1007,#MORPH,[PRON],hun~a/PRON.3FP,hun~a,hun~a/POSS_PRON_3FP,their,MSA,enc0:3fp_poss,!C:i# !C:ay# !C:iy#,,C:POSS_PRON,Clitics,كتابُهُن,OK,GOOD,,
262,1008,MORPH,[PRON],hu/PRON.3MS,hi,hu/POSS_PRON_3MS,its/his,MSA,enc0:3ms_poss,C:i#||C:ay#||C:iy#,,C:POSS_PRON,Clitics,كتابِهِ,OK,GOOD,,
263,1009,#MORPH,[PRON],hum/PRON.3MP,him,hum/POSS_PRON_3MP,their,MSA,enc0:3mp_poss,C:i#||C:ay#||C:iy#,,C:POSS_PRON,Clitics,كتابِهِم,OK,GOOD,,
264,1010,#MORPH,[PRON],humA/PRON.3D,himA,humA/POSS_PRON_3D,their,MSA,enc0:3d_poss,C:i#||C:ay#||C:iy#,,C:POSS_PRON,Clitics,كتابِهِما,OK,GOOD,,
265,1011,#MORPH,[PRON],hun~a/PRON.3FP,hin~a,hun~a/POSS_PRON_3FP,their,MSA,enc0:3fp_poss,C:i#||C:ay#||C:iy#,,C:POSS_PRON,Clitics,كتابِهِن,OK,GOOD,,
266,1012,,,,,,,,,,,,,,,,,
267,1013,#MORPH,[PRON],ka/PRON.2MS,ka,ka/POSS_PRON_2MS,your_[masc.sg.],MSA,enc0:2ms_poss,_,,C:POSS_PRON,Clitics,,OK,GOOD,,
268,1014,#MORPH,[PRON],ki/PRON.2FS,ki,ki/POSS_PRON_2FS,your_[fem.sg.],MSA,enc0:2fs_poss,_,,C:POSS_PRON,Clitics,,OK,GOOD,,
269,1015,#MORPH,[PRON],kum/PRON.2MP,kum,kum/POSS_PRON_2MP,your_[masc.pl.],MSA,enc0:2mp_poss,_,,C:POSS_PRON,Clitics,,OK,GOOD,,
270,1016,#MORPH,[PRON],kumA/PRON.2D,kumA,kumA/POSS_PRON_2D,your_[du.],MSA,enc0:2d_poss,_,,C:POSS_PRON,Clitics,,OK,GOOD,,
271,1017,#MORPH,[PRON],kun~a/PRON.2FP,kun~a,kun~a/POSS_PRON_2FP,your_[fem.pl.],MSA,enc0:2fp_poss,_,,C:POSS_PRON,Clitics,,OK,GOOD,,
272,1018,,,,,,,,,,,,,,,,,
273,1019,#MORPH,[PRON],iy/PRON.1S,iy,iy/POSS_PRON_1S,my,MSA,enc0:1s_poss,!C:A# !C:ay# !C:iy#,,C:POSS_PRON-iy,Clitics,كتابِي,OK,GOOD,,
274,1020,#MORPH,[PRON],iy/PRON.1S,ya,iy/POSS_PRON_1S,my,MSA,enc0:1s_poss,C:A#,,C:POSS_PRON-iy,Clitics,كتابايَ,OK,GOOD,,
275,1021,#MORPH,[PRON],iy/PRON.1S,~a,iy/POSS_PRON_1S,my,MSA,enc0:1s_poss,C:ay#||C:iy#,,C:POSS_PRON-iy,Clitics,كتابَيَّ,OK,GOOD,,
276,1022,,,,,,,,,,,,,,,,,
277,1023,#MORPH,[PRON],nA/PRON.1P,nA,nA/POSS_PRON_1P,our,MSA,enc0:1p_poss,_,,C:POSS_PRON,Clitics,,OK,GOOD,,
278,1024,,,,,,,,,,,,,,,,,
279,1025,#MORPH,[PRON],mA/REL_PRON,mA,mA/REL_PRON,,MSA,enc0: mA_rel,,,MA,Clitics,,OK,GOOD,,
280,1026,#MORPH,[PRON],mA/SUB_CONJ,mA,mA/SUB_CONJ,,MSA,enc0: mA_sub,,,MA,Clitics,,OK,GOOD,,
